wav_filename,wav_filesize,transcript
common_voice_zh-TW_19227129.wav,119084,村長給你開示了沒
common_voice_zh-TW_19227141.wav,102188,會讓人置身事外
common_voice_zh-TW_19227258.wav,107564,依現行人民團體法規定
common_voice_zh-TW_19227273.wav,84524,也親了我
common_voice_zh-TW_19227248.wav,107564,若能參加相對論之旅
common_voice_zh-TW_19227278.wav,96044,再請各位表達意見
common_voice_zh-TW_19227143.wav,103724,都會區域可能塞車
common_voice_zh-TW_19228069.wav,111404,來籌畫各方面的作業
common_voice_zh-TW_19228068.wav,107564,創造了一個很好的成績
common_voice_zh-TW_19228195.wav,82988,議題如何提出？
common_voice_zh-TW_19228073.wav,90668,原契約所定價格
common_voice_zh-TW_19228194.wav,76844,涉及羞辱
common_voice_zh-TW_19228192.wav,90668,有牴觸憲法之疑慮
common_voice_zh-TW_19228188.wav,92204,總之這兩篇
common_voice_zh-TW_19228196.wav,111404,不過我覺得，整個籌備工作
common_voice_zh-TW_19228217.wav,140588,從山坡上輕輕地爬下來了
common_voice_zh-TW_19234042.wav,122924,其實我們認為很專業的東西
common_voice_zh-TW_20289858.wav,133676,自然你說話就有力量
common_voice_zh-TW_19228204.wav,106028,較私地為低
common_voice_zh-TW_20289878.wav,94508,卑南語、賽夏語
common_voice_zh-TW_20289978.wav,111404,由組長之間先協調溝通
common_voice_zh-TW_20289857.wav,142124,負責蒐集研究各方的意見
common_voice_zh-TW_20290004.wav,87596,原來這裡可以閒聊
common_voice_zh-TW_20290005.wav,122924,當一個人主動搭籠子時
common_voice_zh-TW_20290011.wav,125996,那我們下次再見囉，掰掰。
common_voice_zh-TW_20290028.wav,119852,發票載具太少沒人用？
common_voice_zh-TW_20290025.wav,75308,別人都這樣做
common_voice_zh-TW_20290014.wav,113708,其實引用英國研究
common_voice_zh-TW_20290044.wav,121388,綠茶升級為文山包種茶
common_voice_zh-TW_20290038.wav,120620,未來也將發展休閒農業
common_voice_zh-TW_20290039.wav,82220,偶然發現
common_voice_zh-TW_20290073.wav,97580,判斷是否合理
common_voice_zh-TW_20290045.wav,101420,會長開始尋找在地產業
common_voice_zh-TW_20290083.wav,113708,台北去年有破十萬人
common_voice_zh-TW_20290101.wav,147500,在這樣不統合的情況下拒絕談論
common_voice_zh-TW_20290041.wav,132908,都空屋了你轉嫁給鬼喔
common_voice_zh-TW_20290081.wav,75308,行政歸行政
common_voice_zh-TW_20290104.wav,141356,氣候變遷的議題真的有人關心嗎？
common_voice_zh-TW_17432268.wav,102188,我們只能下車等
common_voice_zh-TW_17432265.wav,138284,下週你那時有空
common_voice_zh-TW_20290085.wav,79916,如有意願參與
common_voice_zh-TW_17432295.wav,84524,你怎麼會有錢買這個？
common_voice_zh-TW_17432273.wav,153644,有關兩岸貨物貿易及陸客中轉
common_voice_zh-TW_17432294.wav,65324,大概是來不及了
common_voice_zh-TW_17432296.wav,132908,各位旅客請繫好你的安全帶
common_voice_zh-TW_17432400.wav,102188,全世界其他地方的華人
common_voice_zh-TW_17432404.wav,65324,百貨公司看看
common_voice_zh-TW_17432412.wav,103724,很少看到有台灣人在用
common_voice_zh-TW_17432401.wav,76844,是否有擴建的可能
common_voice_zh-TW_18539552.wav,125228,微胖身軀散散步
common_voice_zh-TW_17432405.wav,94508,影像製作公司
common_voice_zh-TW_18539555.wav,94508,幹嘛這麼急？
common_voice_zh-TW_17432271.wav,111404,它的腳爪整天都在滑倒
common_voice_zh-TW_18539553.wav,103724,好不愜意
common_voice_zh-TW_18539558.wav,117548,聚在一起唱歌喝酒
common_voice_zh-TW_18539565.wav,88364,我是小孩
common_voice_zh-TW_18539557.wav,121388,未具自耕農加保資格
common_voice_zh-TW_18539564.wav,125228,學界菁英團隊齊聚一堂
common_voice_zh-TW_18539578.wav,99884,剖析潛在應用與商機
common_voice_zh-TW_18539568.wav,80684,讓他自己決定
common_voice_zh-TW_18539580.wav,79148,真的有效嗎？
common_voice_zh-TW_18539551.wav,106028,藉由藝術作品
common_voice_zh-TW_18539582.wav,111404,十字樓將近一年整修
common_voice_zh-TW_18539576.wav,130604,鄉原古統教美術課程
common_voice_zh-TW_18539595.wav,86828,獨自來到這裡
common_voice_zh-TW_18539607.wav,76844,台北國語學校
common_voice_zh-TW_18539604.wav,99884,這裡有棵樹
common_voice_zh-TW_18539605.wav,79148,媽媽
common_voice_zh-TW_19329245.wav,145964,鼓勵新創公司利用公眾資料
common_voice_zh-TW_19329246.wav,180524,從服裝、道具、舞臺裝置到人物塑造
common_voice_zh-TW_18539598.wav,96044,托腮而立的男主人
common_voice_zh-TW_19329244.wav,159788,我建議今天在這方面儘量的發言
common_voice_zh-TW_19329280.wav,149804,敵國造成的危害與嚴重後果
