wav_filename,wav_filesize,transcript
common_voice_zh-TW_17435854.wav,73004,買這本書的再版
common_voice_zh-TW_17433399.wav,129068,讓所有人可以一起來努力
common_voice_zh-TW_17442003.wav,162092,交通館有講倫敦設計的專區
common_voice_zh-TW_17446388.wav,82988,生活中的每一分細節
common_voice_zh-TW_17433332.wav,122924,從小學開始養成寫日記的習慣
common_voice_zh-TW_17445948.wav,132908,她每天帶小女兒走路上學
common_voice_zh-TW_17435875.wav,89132,成功在多處復育螢火蟲
common_voice_zh-TW_17446365.wav,61484,這是不是個笑話
common_voice_zh-TW_17446236.wav,63788,你還是放棄吧
common_voice_zh-TW_17446439.wav,82988,一步一步有了家
common_voice_zh-TW_17445907.wav,61484,最後還是沒有
common_voice_zh-TW_17446007.wav,48428,十分緊張
common_voice_zh-TW_17446051.wav,56108,颱風一來
common_voice_zh-TW_17446502.wav,57644,聽說你開始做生意了
common_voice_zh-TW_17446507.wav,61484,倒底在期待什麼
common_voice_zh-TW_17446391.wav,96044,這不失為一個機會教育的好機會
common_voice_zh-TW_17446581.wav,71468,途中雪景又是一絕
common_voice_zh-TW_17446787.wav,84524,全球各地的老年人口
common_voice_zh-TW_17446782.wav,67628,還是再度找上門
common_voice_zh-TW_17446654.wav,53804,看著鏡子梳洗
common_voice_zh-TW_17446679.wav,61484,沒有適合的房間
common_voice_zh-TW_17446572.wav,63788,走了大概六分鐘
common_voice_zh-TW_17446541.wav,52268,百貨公司看看
common_voice_zh-TW_17446550.wav,52268,去小樽的列車
common_voice_zh-TW_17446637.wav,59948,你有沒有帶貼紙
common_voice_zh-TW_17446538.wav,69164,覺得沒有賺到很多錢
common_voice_zh-TW_17446518.wav,56108,我一點都不著急
common_voice_zh-TW_17446673.wav,80684,最終選取結果
common_voice_zh-TW_17446530.wav,76844,拿起一些舊衣開始縫補
common_voice_zh-TW_17446824.wav,80684,徵才地點景色很讚
common_voice_zh-TW_17446564.wav,94508,客人聽到後還是堅持要交貨
common_voice_zh-TW_17446832.wav,73004,不太確定你講的是哪個
common_voice_zh-TW_17446924.wav,102188,居然還會有人覺得這個國家很好
common_voice_zh-TW_17446853.wav,86828,像是坐雲霄飛車
common_voice_zh-TW_17446852.wav,98348,後來他們遷往三重金華街
common_voice_zh-TW_17446892.wav,107564,幫忙用英文叫大家進去
common_voice_zh-TW_17446893.wav,90668,發現其實我們不用出站
common_voice_zh-TW_17446916.wav,76844,身上總像背著什麼
common_voice_zh-TW_17446879.wav,33068,平安健康
common_voice_zh-TW_17446960.wav,57644,咖啡加上點心
common_voice_zh-TW_17446969.wav,71468,她笑了一下
common_voice_zh-TW_17446943.wav,71468,他就想佔有呀
common_voice_zh-TW_17446900.wav,86828,農家需要靠天吃飯
common_voice_zh-TW_17446970.wav,75308,我還會是像現在一樣
common_voice_zh-TW_17446950.wav,84524,像論壇就需要持續進行
common_voice_zh-TW_17446944.wav,63788,麻糬口味很q
common_voice_zh-TW_17446990.wav,71468,迷惘的眼神
common_voice_zh-TW_17447024.wav,79148,用衛星在太空上網
common_voice_zh-TW_17446992.wav,49964,選擇的機會
common_voice_zh-TW_17447080.wav,96044,去摘一株最大最金黃的麥穗
common_voice_zh-TW_17447065.wav,63788,也放聲大哭
common_voice_zh-TW_17450917.wav,80684,一年見面的次數不到十次
common_voice_zh-TW_17447060.wav,79148,揉揉眼睛頭也不回
common_voice_zh-TW_17451009.wav,86828,至少車上有暖氣
common_voice_zh-TW_17451007.wav,107564,步伐踉蹌險些跌倒在地
common_voice_zh-TW_17446985.wav,73004,本來想去麥當勞
common_voice_zh-TW_17450930.wav,109868,中風後還需要柺杖幫助走路
common_voice_zh-TW_17447033.wav,92204,準確的刺激了七個穴位
common_voice_zh-TW_17451034.wav,29228,你不能走回頭路
common_voice_zh-TW_17447068.wav,71468,很少看到有台灣人在用
common_voice_zh-TW_17447078.wav,65324,下週你那時有空
common_voice_zh-TW_17451216.wav,69164,昨天晚上試用
common_voice_zh-TW_17458716.wav,145196,在這邊讀書的同事特別推薦
common_voice_zh-TW_17459112.wav,63788,覺得心裡暖暖的
common_voice_zh-TW_17459116.wav,65324,可以協助處理
common_voice_zh-TW_17452024.wav,170540,累積創業人脈與技術
common_voice_zh-TW_17459117.wav,53804,陪我打集會所
common_voice_zh-TW_17458370.wav,96044,我趕快去排隊
common_voice_zh-TW_17460666.wav,88364,漏給加班費
common_voice_zh-TW_17460662.wav,96044,有關圓山遺址的規劃
common_voice_zh-TW_17451052.wav,90668,沒一家敢提續航力
common_voice_zh-TW_17459119.wav,53804,為了賺錢
common_voice_zh-TW_17452023.wav,79916,把螞蟻撥掉
common_voice_zh-TW_17461252.wav,79916,可以天天看正妹啦！
common_voice_zh-TW_17460680.wav,119084,要設計一個專屬的行動介面
common_voice_zh-TW_17457022.wav,80684,不會生活，你就沒有人生
common_voice_zh-TW_17467371.wav,92204,很少看到有台灣人在用
common_voice_zh-TW_17467342.wav,53804,並不涉及政治
common_voice_zh-TW_17467394.wav,86828,給她貼了暖暖包
common_voice_zh-TW_17467387.wav,79148,台中市南屯區萬和路
common_voice_zh-TW_17467357.wav,115244,農曆春節在兩岸都是最重要的節慶
common_voice_zh-TW_17467354.wav,86828,民眾感受到的臺灣價值
common_voice_zh-TW_17467396.wav,126764,媒體報導之下的放大鏡效果
common_voice_zh-TW_17467397.wav,115244,她微胖身軀漸漸行動不便
common_voice_zh-TW_17467386.wav,61484,簡單講就是時間不足
common_voice_zh-TW_17468163.wav,84524,弄出來基本功能了
common_voice_zh-TW_17467377.wav,59948,靈感來自於那封信
common_voice_zh-TW_17468098.wav,94508,不可能因為換人當
common_voice_zh-TW_17461245.wav,71468,我只知道他的身份
common_voice_zh-TW_17468043.wav,85292,團結一致才不會倒下
common_voice_zh-TW_17468154.wav,67628,工作並不輕鬆
common_voice_zh-TW_17468152.wav,103724,剛好在吃飯時遇到
common_voice_zh-TW_17468172.wav,94508,一番折騰後她回到家裡
common_voice_zh-TW_17468169.wav,80684,一路超冷才對
common_voice_zh-TW_17468183.wav,73004,再度生下小女嬰
common_voice_zh-TW_17468222.wav,96044,結果他們說不可以
common_voice_zh-TW_17468185.wav,106028,簡單講就是時間不足
common_voice_zh-TW_17468190.wav,96044,正因為是他我才願意
common_voice_zh-TW_17468174.wav,59948,札幌地下街
common_voice_zh-TW_17468244.wav,122156,黃燈的十字路口
common_voice_zh-TW_17468221.wav,145964,再度生下小女嬰
common_voice_zh-TW_17468270.wav,92204,跟我一樣的聲音
common_voice_zh-TW_17468171.wav,99884,只是教練還是在訓話
common_voice_zh-TW_17468530.wav,86828,年紀大了難免有病
common_voice_zh-TW_17468334.wav,88364,落井下石非英雄
common_voice_zh-TW_17470258.wav,90668,怎麼眼睛哭的那麼腫
common_voice_zh-TW_17468241.wav,117548,我們買了巴士票
common_voice_zh-TW_17470260.wav,94508,我還會是像現在一樣
